epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,182.893,0.49252,0.28571,0.80822,0.94041,0.96913,0.97745,0.7854,0.82064,0.42397,0.92909,0.000317,0.000317,0.000317
87,184.971,0.44052,0.26257,0.80239,0.94041,0.96913,0.97745,0.7854,0.82064,0.42397,0.92909,0.0002972,0.0002972,0.0002972
88,187.096,0.4262,0.26648,0.81498,0.94804,0.95614,0.9746,0.777,0.81967,0.41282,0.92682,0.0002774,0.0002774,0.0002774
89,188.957,0.47621,0.29008,0.80375,0.94804,0.95614,0.9746,0.777,0.81967,0.41282,0.92682,0.0002576,0.0002576,0.0002576
90,190.884,0.42019,0.26597,0.80821,0.94384,0.96491,0.97558,0.7806,0.82155,0.40381,0.92942,0.0002378,0.0002378,0.0002378
91,196.84,0.41889,0.26072,0.80796,0.94384,0.96491,0.97558,0.7806,0.82155,0.40381,0.92942,0.000218,0.000218,0.000218
92,198.947,0.46734,0.29775,0.80819,0.94867,0.97272,0.97622,0.77427,0.82939,0.40683,0.93277,0.0001982,0.0001982,0.0001982
93,200.943,0.42298,0.25085,0.77766,0.94867,0.97272,0.97622,0.77427,0.82939,0.40683,0.93277,0.0001784,0.0001784,0.0001784
94,203.002,0.42199,0.25055,0.80721,0.94035,0.96799,0.97627,0.76869,0.83298,0.40301,0.9323,0.0001586,0.0001586,0.0001586
95,204.933,0.42005,0.28343,0.83197,0.94035,0.96799,0.97627,0.76869,0.83298,0.40301,0.9323,0.0001388,0.0001388,0.0001388
96,206.93,0.39424,0.24355,0.81278,0.94037,0.96828,0.97529,0.7723,0.82999,0.39894,0.93187,0.000119,0.000119,0.000119
97,208.831,0.38195,0.24761,0.823,0.94037,0.96828,0.97529,0.7723,0.82999,0.39894,0.93187,9.92e-05,9.92e-05,9.92e-05
98,210.756,0.40137,0.25221,0.81895,0.93759,0.96491,0.97572,0.77295,0.82769,0.40004,0.93132,7.94e-05,7.94e-05,7.94e-05
99,212.696,0.38077,0.22582,0.79709,0.93759,0.96491,0.97572,0.77295,0.82769,0.40004,0.93132,5.96e-05,5.96e-05,5.96e-05
100,214.662,0.37194,0.23801,0.79958,0.93836,0.96491,0.97545,0.77138,0.82497,0.39556,0.93229,3.98e-05,3.98e-05,3.98e-05
